NADH,n.t1.mean,n.t2.mean,n.a1.mean,f.t1.mean,f.t2.mean,f.a1.mean,rr.mean,n.tm.mean,f.tm.mean,npix,Group,Donor,Experiment_Date,Activation,Cell_Type
NK_act_2n,284.2924539,2298.07148,61.28687303,214.5224069,1986.795888,68.94353717,0.903494563,1063.215042,752.1583594,304,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,276.745054,2167.031934,64.84025693,223.4929442,2102.097044,69.86339818,0.878598312,939.189558,777.3194787,274,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,285.6106175,2360.322168,60.60511014,215.5167993,2106.549895,69.10312028,0.897648602,1099.654362,787.079747,286,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,319.606917,2484.8991,59.598009,207.3688509,1985.572847,69.31383479,0.934451008,1189.019693,744.0680826,411,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,307.3913997,2408.123911,59.34983464,234.7996401,2134.818631,68.19816872,0.918478587,1158.156234,823.6321255,358,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,287.9079609,2308.997885,63.79443526,189.9836058,1980.083974,71.58699583,0.930203817,1021.162118,691.2472774,312,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,320.1545604,2409.677857,64.41474835,192.7547074,2050.20489,68.09968599,0.918375847,1061.733256,774.3418158,364,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,299.2633735,2358.118594,61.47976185,221.5697738,2212.093936,71.50989357,0.953489348,1089.541325,764.2208389,249,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,292.2317087,2379.619965,59.64980556,244.8439941,2104.165382,67.67522778,0.931652197,1130.650441,828.1903346,288,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,289.0542672,2303.561983,60.39959526,196.5293155,2131.727802,71.21517543,0.933617511,1086.892251,737.9500158,232,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,269.9197314,2530.782835,52.18832261,212.9170016,2246.613333,72.11205057,0.930244206,1345.829391,763.2493327,261,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,308.1678829,2368.813295,61.13251705,213.487562,2096.106899,67.05857287,0.901511727,1105.958212,828.6765512,258,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,311.3521498,2378.929494,66.92263333,212.9738065,2101.766287,70.47699578,0.942238225,993.2247057,757.3277814,237,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,275.5716898,2277.992642,63.48635321,226.5742694,2058.100943,68.84925887,0.883265681,1010.016294,797.5587455,265,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,309.730423,2381.440483,62.46383755,217.228503,1934.897695,67.6627487,0.918768991,1087.54834,759.9734643,269,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,260.0620103,2198.872759,61.4104,139.2638172,2012.703793,69.95125,0.96526,1008.091426,654.737979,58,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,295.3893617,2237.063447,64.67183064,202.9956796,1893.701149,70.69898638,0.891719183,982.116513,685.3126903,235,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,286.2290701,2256.009063,63.32720799,189.517945,1981.852222,68.95414826,0.93020009,1006.514627,733.1640415,288,Activated,M,221101,CD69+,NK-Cells
